"Name","Duration","Effects","Response options","Can generate","Notes"
"Early Smog Advisory","1 week","Reduces walking and biking comfort; increases support for low-emission policies.","Free transit day; climate messaging; ignore and save budget.","Climate Communication Campaign; Low-Emission Zone policy","Good early event that points players toward emissions tools."
"Severe Rain Week","1 week","Slows buses, walking, and biking; bus shelters and drainage reduce penalty.","Deploy maintenance overtime; promote transit app reroutes; accept delays.","Bus Shelter Upgrade; Flood Barrier for Station","Makes small comfort upgrades feel valuable."
"Heavy Snowstorm","1-2 weeks","Large bus and car delay; cycling drops unless snow prep exists.","Activate snow route prep; emergency bus bridge; suspend parking on snow routes.","Snow Route Prep; Winter Cycling Maintenance policy","Boss-style winter event if forecast one week early."
"Heat Wave","1-2 weeks","Rail and tram delay risk increases; walking trips drop at midday.","Open cooling centers at stations; prioritize track inspection; shift work hours.","Heat-Resilient Track Work; Shade Streets policy","Synergizes with climate adaptation strategies."
"Flash Flood","1 week","Disables vulnerable underpasses and stations; car congestion spills to bridges.","Close flood zones; fund barriers; run shuttle bridges.","Flood Barrier for Station; Climate Resilience Fund policy","Map-specific high drama event."
"Foggy Morning Pileup","1 week","Accident blocks one arterial and reduces car capacity near it.","Emergency detours; transit priority response; public safety campaign.","Traffic Calming Package; Vision Zero policy","Can convert a car crisis into safety policy momentum."
"Major Bus Breakdown","1 week","One bus line loses capacity and reliability.","Maintenance overtime; spare bus dispatch; issue fare credits.","Spare Parts Stockpile; Fleet Renewal Mandate policy","Punishes overextended bus networks without maintenance."
"Subway Signal Failure","1 week","Subway line reliability collapses; buses near stations overcrowd.","Emergency bus bridge; fund signal modernization; communicate delays.","Emergency Bus Bridge Plan; Subway Automation Upgrade","Good test of modal redundancy."
"Tram Wire Down","1 week","Tram corridor shuts down or runs slowly.","Bus bridge; repair overtime; invest in resilient overhead systems.","Maintenance Overtime; Tram Resilience Standards policy","Niche tram-focused disruption."
"Bridge Closure Inspection","2 weeks","A crossing loses capacity; ferries, rail, and remote work become valuable.","Accelerate repairs; add ferry trips; encourage WFH.","Ferry Vessel; Work From Home Act policy","Great if rivers or barriers exist."
"Pothole Season","2-4 weeks","Road roughness slows buses, bikes, and cars; crash risk rises.","Repair blitz; defer repairs; target bus corridors first.","Pothole Repair Blitz; Preventive Maintenance Lockbox policy","Turns boring maintenance into a strategic fork."
"Fuel Price Spike","3-6 weeks","Car operating cost rises; transit demand increases; bus operating cost may rise too.","Add service; fuel subsidy; accelerate electrification.","Electric Bus Purchase; Fuel Tax Stabilizer policy","Can help transit if capacity is ready."
"Oil Price Crash","4-8 weeks","Car use increases and fuel tax revenue may fall.","Congestion charge push; parking reform; embrace cheap driving.","Congestion Charge Gantries; Parking Cash-Out policy","Anti-transit pressure event."
"Import Inflation","4-8 weeks","Vehicle and rail capital costs increase; spare parts stockpile reduces impact.","Delay megaprojects; buy local; spend reserves.","Spare Parts Stockpile; Domestic Transit Procurement policy","Connects trade disputes to build strategy."
"Recession","6-12 weeks","Budget replenishment drops; unemployment reduces commute demand but approval becomes fragile.","Stimulus projects; service cuts; low-income fare relief.","Green Bond Issuance; Countercyclical Infrastructure policy","Hard budget boss with multiple viable responses."
"Booming Economy","6-12 weeks","Budget improves but commute demand and construction disruption rise.","Expand capacity; coordinate construction; tax windfall.","Construction Coordination Office; Growth Dividend policy","Tempts players into overbuilding."
"Transit Strike Vote","3-8 weeks","Threatens shutdown; fair labor policies reduce risk.","Negotiate wages; prepare bus bridge; take hard line.","Bus Driver Hiring Fair; Labor Peace Accord policy","Anticipated boss with political tradeoffs."
"Operator Shortage","4-10 weeks","Bus and tram frequencies are capped below purchased fleet capacity.","Hiring fair; overtime; reduce weak routes.","Bus Driver Hiring Fair; Operator Training Academy policy","Makes labor a real resource."
"Federal Transit-Friendly Win","8-20 weeks","Grant chance improves and transit capital costs may be subsidized.","Apply for grants; start shovel-ready projects; bank goodwill.","Federal Grant Application; Matching Grant Office policy","Positive political swing."
"Federal Anti-Transit Win","8-20 weeks","Grant chance drops; road projects become easier to fund.","Lobby; local green bond; pivot to low-cost projects.","Public Consultation Roadshow; Local Funding Autonomy policy","Can be influenced by lobbying-style abilities later."
"Provincial Highway Promise","4-12 weeks","Car lane and tunnel costs fall; car demand expectations rise.","Coordinate multimodal bridge; oppose highway; accept funding.","Car Lane Addition; Complete Streets Funding Rule policy","Gives car strategies a tempting path."
"New Mayor Approval Surge","4 weeks","Public support rises; disruptive policies are easier to pass.","Push congestion charge; launch road diets; save capital.","Congestion Charge Gantries; Political Capital Reserve policy","A timing window event."
"Corruption Investigation","4-8 weeks","Large contracts cost more politically; transparency policies reduce damage.","Freeze contracts; open data portal; independent audit.","Open Mobility Data Portal; Transparent Procurement policy","Can punish mega-project rushes."
"Neighborhood Protest","1-4 weeks","A district resists road changes, tolls, or station construction.","Consultation roadshow; redesign project; enforce timeline.","Public Consultation Roadshow; Community Benefit Agreement policy","Backlash management event."
"Cyclist Safety Protest","2 weeks","Public pressure rises for protected lanes and traffic calming.","Build quick protection; promise study; ignore.","Protected Bike Lane; Vision Zero policy","Event can unlock bike-heavy run."
"Driver Tax Revolt","2-6 weeks","Congestion charge, fuel tax, and parking policies face backlash.","Target exemptions; reduce rates; invest revenue visibly.","Curb Pricing Pilot; Congestion Dividend policy","Keeps pricing strategies interactive."
"Downtown Festival","1 week","Trips to entertainment districts spike outside commute peaks.","Special event plan; night buses; ridehail geofence.","Special Event Transit Plan; Night Bus Service","Reward for flexible off-peak networks."
"Championship Game","1 week","Large venue surge; car traffic peaks before and after event.","Event transit plan; temporary HOV lane; parking surcharge.","Tourism Shuttle; Event Parking Levy policy","Small recurring spike event."
"International Olympics Bid","12-30 weeks","Huge future demand and grant opportunities; construction disruption increases.","Build rail; temporary bus network; withdraw bid.","Special Event Transit Plan; Olympic Mobility Authority policy","Long boss arc if accepted."
"Convention Week","1 week","Airport, hotel, downtown, and nightlife trips rise.","Airport express bus; tourism shuttle; transit ambassadors.","Airport Express Bus; Visitor Transit Pass policy","Good for tourism tools."
"VIP Motorcade","1 week","Random road closures and downtown delays.","Detour plan; encourage transit; absorb disruption.","VIP Motorcade Detour Plan; Security Closure Protocol policy","Compact disruption with a counter ability."
"Car-Free Day Proposal","1 week","Option to close streets city-wide for one day; boosts active modes if successful.","Approve; scale to one district; cancel.","Pop-Up Pedestrian Plaza; Open Streets Program policy","Can create permanent culture shift."
"Immigration Boom","8-20 weeks","Population and commute demand rise, especially in affordable neighborhoods.","Add bus service; accelerate housing near transit; do nothing.","Bus Line Extension; Welcome Mobility Pass policy","Growth pressure event."
"Student Enrollment Surge","8-16 weeks","University-area demand rises; peak and late-night trips increase.","U-Pass expansion; bike share docks; night buses.","Student U-Pass Expansion; Campus Mobility Compact policy","Creates campus strategy."
"New Hospital Campus","Permanent map change","Adds job demand and shift trips at a new site.","Hospital shuttle; bus extension; parking garage deal.","Hospital Access Shuttle; Hospital Shift Mobility policy","Land-use event with off-peak needs."
"Factory Opens","Permanent map change","Adds industrial jobs and freight trips.","Industrial shuttle; freight signal priority; road widening.","Industrial Shift Shuttle; Freight Priority Compact policy","Industrial corridors need different answers."
"Factory Closure","4-12 weeks","Commute demand drops in one area; budget and approval may fall.","Redevelopment plan; service adjust; worker pass support.","Transit-Oriented Zoning Hearing; Brownfield TOD policy","Can free capacity or create equity problem."
"High-Rise Rezoning Wave","Permanent map change","Residential density rises near selected corridors.","Add transit capacity; demand survey; slow approvals.","Subway Station; Inclusionary TOD policy","Good policy/ability synergy generator."
"Mall Redevelopment","Permanent map change","Car-oriented retail can become mixed-use center if guided.","Transit hub; parking reform; road expansion.","Integrated Wayfinding Signs; Mixed-Use Retrofit policy","Turns bad land use into opportunity."
"Port Expansion","8-20 weeks","Freight trips and industrial jobs rise near waterfront.","Freight priority; cargo bike hub; commuter rail station.","Urban Freight Consolidation Center; Port Mobility Compact policy","Freight and worker strategy event."
"Cruise Ship Season","4-12 weeks","Tourist bursts near waterfront; taxis and buses crowd curb space.","Tourism shuttle; ferry service; ridehail geofence.","Ferry Vessel; Visitor Transit Pass policy","Waterfront event."
"Tech Campus Relocation","Permanent map change","Adds concentrated office demand and high-income commuters.","Employer pass; subway station; parking cash-out.","Employer Transit Pass Pilot; Employer TDM Mandate policy","Good for demand management."
"Remote Work Trend","6-20 weeks","Peak office commute drops but midday local trips rise.","Adopt WFH act; redesign service; cut too much service.","Telework Outreach Campaign; Work From Home Act policy","Can help congestion but hurt fare revenue."
"Ridehail Price War","4-10 weeks","Ridehail use rises and clogs curbs around busy districts.","Geofence pickups; curb pricing; transit fare promo.","Ridehail Geofence; Ridehail Curb Fee policy","Modern curb-management event."
"Autonomous Shuttle Vendor Pitch","4 weeks","Offers cheap pilot with uncertain reliability and data concerns.","Run pilot; demand open data; reject.","Demand-Responsive Shuttle; Public Data Rights policy","Can unlock unusual tech strategy."
"Electric Vehicle Adoption Wave","8-20 weeks","Emissions fall but congestion remains; fuel tax revenue drops.","Road pricing; EV charging policy; celebrate emissions.","License Plate Camera Network; Road Usage Charge policy","Separates congestion from emissions."
"Gas Station Closures","4-12 weeks","Car convenience drops in some districts; EV and transit demand rise.","Add chargers; transit marketing; ignore.","Vehicle Electrification Grant; Low-Emission Zone policy","Late-stage car transition event."
"Local Newspaper Transit Series","3 weeks","Public attention on transit performance; good networks gain approval, bad ones lose it.","Open data; station cleaning; blame predecessor.","Open Mobility Data Portal; Performance Dashboard policy","Soft accountability event."
"Viral Delay Video","2 weeks","Transit approval drops after a visible failure.","Apologize and compensate; fix root cause; suppress message.","Station Cleaning Surge; Rider Bill of Rights policy","Forces reliability investment."
"Budget Windfall","1 week","Large one-time surplus appears.","Fund capital backlog; create reserve; cut taxes.","Green Bond Issuance; Rainy Day Transit Fund policy","Positive variance; lets run pivot."
"Court Blocks Road Diet","4-8 weeks","One safety or bike project is paused unless process is improved.","Appeal; redesign consultation; replace with paint pilot.","Public Consultation Roadshow; Complete Streets Ordinance policy","Turns legal friction into policy unlock."
"University Research Partnership","6 weeks","Offers better demand modeling and experimental pilots.","Accept data sharing; fund study; decline.","Data Science Hiring Sprint; Evidence-Based Planning policy","Advisor and information synergy."
"Aging Population Report","Permanent trend","Accessibility and paratransit needs increase over time.","Curb ramps; senior shuttle; accessible fare pass.","Accessible Curb Ramp Program; Universal Mobility Standard policy","Pushes equity-focused builds."
"Youth Climate March","2 weeks","Support rises for bold transit and bike policies; driver backlash risk also rises.","Announce green package; build quick wins; wait.","Climate Communication Campaign; Climate Mobility Mandate policy","Good timing window for transformative policies."
